Starbucks Coffee,3 New York Plaza,,New York,NY,10004,8-32,Casual Eating & Takeout,F-Coffeehouse,40.675221,-73.9714429
New York Health & Racquet Club,39 Whitehall Street,,New York,NY,10004,8-32,Personal and Professional Services,P-Athletic Clubs/Fitness,40.7029437,-74.0126761
A.J. Kelly's,6 Stone Street,,New York,NY,10004,10-32,Full Service Dining,F-Irish Pub,40.7039279,-74.012469
Fraunces Tavern® Restaurant,54 Pearl Street,,New York,NY,10004,7-35,Full Service Dining,F-American,40.7033945,-74.0113373
Bombay's,60 Pearl Street,,New York,NY,10004,7-37,Casual Eating & Takeout,F-Indian,40.7034358,-74.01108839999999
Pearl Bodywork,60 Pearl Street,Floor 2,New York,NY,10004,7-38,Personal and Professional Services,P-Spa,40.7034358,-74.01108839999999
McDonald's,6 Water Street,,New York,NY,10004,8-51,Casual Eating & Takeout,F-Fast Food,40.7029581,-74.0122837
Water Street Gourmet Deli & Pizza,12 Water Street,,New York,NY,10004,8-51,Casual Eating & Takeout,F-Deli,40.70299139999999,-74.0121474
Alice's Fashion,1 New York Plaza,,New York,NY,10004,4-1,Shopping,S-Apparel: Women's,40.7020841,-74.0118801
Mr. Soup,1 New York Plaza,,New York,NY,10004,4-1,Casual Eating & Takeout,F-Soup,40.7020841,-74.0118801
Vivo Food,1 New York Plaza,,New York,NY,10004,4-1,Casual Eating & Takeout,F-Health,40.7020841,-74.0118801
Gateway News,1 New York Plaza,,New York,NY,10004,4-01,Personal and Professional Services,P-Newsstands,40.7020841,-74.0118801
New World Coffee,1 New York Plaza,,New York,NY,10004,4-1,Casual Eating & Takeout,F-Coffeehouse,40.7020841,-74.0118801
New York Plaza Cleaners & Tailors/Shoe Repair,1 New York Plaza,Lobby,New York,NY,10004,4-01,Personal and Professional Services,P-Dry Cleaning,40.7020841,-74.0118801
Salvatore's  Barber Shop and Hair Salon,1 New York Plaza,,New York,NY,10004,4-1,Personal and Professional Services,P-Hair Salon & Barber Shop,40.7020841,-74.0118801
"Estee Lauder Companies Inc., The Company Store",1 New York Plaza,,New York,NY,10004,4-1,Shopping,S-Beauty & Fragrances,40.7020841,-74.0118801
Subway,1 New York Plaza,Concourse,New York,NY,10004,4-1,Casual Eating & Takeout,F-Fast Food,40.7020841,-74.0118801
Cafe Groppi,32 Water Street,,New York,NY,10004,7-26,Casual Eating & Takeout,F-American,40.7033093,-74.0109325
Pranzo,34 Water Street,Street Level,New York,NY,10004,7-26,Casual Eating & Takeout,F-Pizza,40.7033277,-74.01083609999999
Fika Espresso Bar,66 Pearl Street,,New York,NY,10004,7-26,Casual Eating & Takeout,F-Coffeehouse,40.7034852,-74.01083129999999
Wall Street Burger Shoppe,30 Water Street,,New York,NY,10004,7-27,Full Service Dining,F-Restaurant & Bar,40.7032931,-74.0110308
Subway,28 Water Street,,New York,NY,10004,7-28,Casual Eating & Takeout,F-Fast Food,40.7032618,-74.0110844
Nelly's Hair Salon,28 Water Street,2nd Floor,New York,NY,10004,7-28,Personal and Professional Services,P-Hair Salon & Barber Shop,40.7032618,-74.0110844
Shoe Repair and Shine,105 Broad Street,,New York,NY,10004,7-31,Personal and Professional Services,P-Shoe Repair/Shine,40.703182,-74.0113458
